state,district,candidate_name,party,vote_percentage,is_incumbent,is_winner,pvi,election_type,wikipedia_url
Colorado,Colorado 1,Diana DeGette,Democratic,76.6,True,True,D+29,general,https://en.wikipedia.org/wiki/Diana_DeGette
Colorado,Colorado 1,Valdamar Archuleta,Republican,21.6,False,False,D+29,general,
Colorado,Colorado 1,Unity,Unity,1.2,False,False,D+29,general,https://en.wikipedia.org/wiki/Unity_Party_of_America
Colorado,Colorado 1,Daniel Lutz,Approval Voting,0.7,False,False,D+29,general,
Colorado,Colorado 2,Joe Neguse,Democratic,68.4,True,True,D+17,general,https://en.wikipedia.org/wiki/Joe_Neguse
Colorado,Colorado 2,Marshall Dawson,Republican,28.9,False,False,D+17,general,
Colorado,Colorado 2,Gaylon Kent,Libertarian,1.2,False,False,D+17,general,
Colorado,Colorado 2,Cynthia Sirianni,Unity,0.9,False,False,D+17,general,
Colorado,Colorado 2,Jan Kok,Approval Voting,0.6,False,False,D+17,general,
Colorado,Colorado 3,Jeff Hurd,Republican,50.8,False,True,R+7,general,https://en.wikipedia.org/wiki/Jeff_Hurd_(politician)
Colorado,Colorado 3,Adam Frisch,Democratic,45.8,False,False,R+7,general,https://en.wikipedia.org/wiki/Adam_Frisch
Colorado,Colorado 3,James Wiley,Libertarian,2.7,False,False,R+7,general,
Colorado,Colorado 3,Adam Withrow,Unity,0.7,False,False,R+7,general,
Colorado,Colorado 4,Lauren Boebert,Republican,53.6,False,True,R+13,general,https://en.wikipedia.org/wiki/Lauren_Boebert
Colorado,Colorado 4,Trisha Calvarese,Democratic,42.0,False,False,R+13,general,
Colorado,Colorado 4,Hannah Goodman,Libertarian,2.6,False,False,R+13,general,
Colorado,Colorado 4,Frank Atwood,Approval Voting,1.4,False,False,R+13,general,
Colorado,Colorado 4,Paul Fiorino,Unity,0.3,False,False,R+13,general,
Colorado,Colorado 4,Greg Lopez,Republican,58.4,False,True,,special,https://en.wikipedia.org/wiki/Greg_Lopez
Colorado,Colorado 4,Trisha Calvarese,Democratic,34.4,False,False,,special,
Colorado,Colorado 4,Hannah Goodman,Libertarian,5.3,False,False,,special,
Colorado,Colorado 4,Approval Voting,Approval Voting,1.9,False,False,,special,https://en.wikipedia.org/wiki/Approval_Voting_Party
Colorado,Colorado 5,Jeff Crank,Republican,54.7,False,True,R+9,general,https://en.wikipedia.org/wiki/Jeff_Crank
Colorado,Colorado 5,River Gassen,Democratic,40.9,False,False,R+9,general,
Colorado,Colorado 5,Michael Vance,Libertarian,1.8,False,False,R+9,general,
Colorado,Colorado 5,Joseph Gaye,Independent,1.1,False,False,R+9,general,
Colorado,Colorado 5,Constitution,Constitution,1.1,False,False,R+9,general,https://en.wikipedia.org/wiki/Constitution_Party_(United_States)
Colorado,Colorado 5,Forward,Forward,0.4,False,False,R+9,general,https://en.wikipedia.org/wiki/Forward_Party_(United_States)
Colorado,Colorado 6,Jason Crow,Democratic,59.0,True,True,D+9,general,https://en.wikipedia.org/wiki/Jason_Crow
Colorado,Colorado 6,John Fabbricatore,Republican,38.5,False,False,D+9,general,
Colorado,Colorado 6,John Kittleson,Libertarian,1.4,False,False,D+9,general,
Colorado,Colorado 6,Travis Nicks,Approval Voting,1.2,False,False,D+9,general,
Colorado,Colorado 7,Brittany Pettersen,Democratic,55.3,True,True,D+4,general,https://en.wikipedia.org/wiki/Brittany_Pettersen
Colorado,Colorado 7,Sergei Matveyuk,Republican,41.2,False,False,D+4,general,
Colorado,Colorado 7,Patrick Bohan,Libertarian,2.3,False,False,D+4,general,
Colorado,Colorado 7,Ron Tupa,Unity,1.2,False,False,D+4,general,
Colorado,Colorado 8,Gabe Evans,Republican,49.0,False,True,EVEN,general,https://en.wikipedia.org/wiki/Gabe_Evans
Colorado,Colorado 8,Yadira Caraveo,Democratic,48.2,True,True,EVEN,general,https://en.wikipedia.org/wiki/Yadira_Caraveo
Colorado,Colorado 8,Chris Baum,Approval Voting,1.7,False,False,EVEN,general,
Colorado,Colorado 8,Susan Hall,Unity,1.1,False,False,EVEN,general,
Connecticut,Connecticut 1,John B. Larson,Democratic,63.1,True,True,D+12,general,https://en.wikipedia.org/wiki/John_B._Larson
Connecticut,Connecticut 1,Jim Griffin,Republican,34.8,False,False,D+12,general,
Connecticut,Connecticut 1,Mary Sanders,Green,2.0,False,False,D+12,general,
Connecticut,Connecticut 2,Joe Courtney,Democratic,58.0,True,True,D+3,general,https://en.wikipedia.org/wiki/Joe_Courtney_(politician)
Connecticut,Connecticut 2,Mike France,Republican,42.0,False,False,D+3,general,https://en.wikipedia.org/wiki/Mike_France_(politician)
Connecticut,Connecticut 3,Rosa DeLauro,Democratic,58.9,True,True,D+7,general,https://en.wikipedia.org/wiki/Rosa_DeLauro
Connecticut,Connecticut 3,Michael Massey,Republican,41.1,False,False,D+7,general,
Connecticut,Connecticut 4,Jim Himes,Democratic,61.1,True,True,D+13,general,https://en.wikipedia.org/wiki/Jim_Himes
Connecticut,Connecticut 4,Michael Goldstein,Republican,37.3,False,False,D+13,general,
Connecticut,Connecticut 4,Benjamin Wesley,Independent,1.6,False,False,D+13,general,
